0.00 0.00
7.00 7.00
8.00 8.00
7.00 7.00
6.00 6.00
7.00 7.00
3.00 3.00
7.00 7.00
6.00 6.00
7.00 7.00
1.00 1.00
8.00 8.00
1.00 1.00
7.00 7.00
0.00 0.00
7.00 7.00
0.00 0.00
7.00 7.00
3.00 3.00
0.00 6.00
6.00 6.00
0.00 0.00
7.00 7.00
7.00 7.00
8.00 8.00
3.00 3.00
1.00 1.00
6.00 6.00
0.00 3.00
4.00 6.00
4.00 4.00
3.00 3.00
0.00 0.00
7.00 7.00
4.00 4.00
3.00 3.00
0.00 0.00
7.00 6.00
6.00 6.00
7.00 7.00
8.00 8.00
7.00 7.00
0.00 0.00
4.00 4.00
3.00 3.00
4.00 4.00
7.00 7.00
4.00 4.00
7.00 7.00
0.00 0.00
4.00 4.00
7.00 7.00
4.00 4.00
7.00 7.00
0.00 6.00
